model,hardware,tp,batch_size,prompt_size,prompt_time,layer_time,Matmul,BatchedMatmul,Softmax,LayerNorm,GeLU,AllReduce,Others
Bloom-176B,H100x8,8,12,2048,2.4139,0.034484,0.022199,0.001461,0.0017851,0.0018738,0.00044994,0.0054539,0.0012612
Bloom-176B,H100x8,8,12,3072,3.7765,0.05395,0.033186,0.0032249,0.0040044,0.0028052,0.00067242,0.0081655,0.0018918
Bloom-176B,H100x8,8,12,4096,5.2376,0.074823,0.044174,0.0055072,0.0071117,0.0037358,0.00089491,0.010877,0.0025223
Bloom-176B,H100x8,8,16,128,0.20369,0.0029099,0.0020354,5.7914e-05,1.8312e-05,0.00016634,4.422e-05,0.00048263,0.0001051
Bloom-176B,H100x8,8,16,256,0.3895,0.0055643,0.0038811,9.3228e-05,4.4493e-05,0.00032157,7.9189e-05,0.00093456,0.0002102
Bloom-176B,H100x8,8,16,384,0.57986,0.0082837,0.0057355,0.00015862,9.2596e-05,0.0004768,0.00011838,0.0013865,0.00031529
Bloom-176B,H100x8,8,16,512,0.76512,0.01093,0.007531,0.00020154,0.00015356,0.00063202,0.00015329,0.0018384,0.00042039
Bloom-176B,H100x8,8,16,768,1.1552,0.016503,0.011212,0.00039607,0.00035148,0.00094248,0.00022745,0.0027423,0.00063059
Bloom-176B,H100x8,8,16,1024,1.546,0.022086,0.014874,0.00057191,0.00059853,0.0012529,0.00030161,0.0036462,0.00084078
Bloom-176B,H100x8,8,16,1536,2.3654,0.033791,0.022199,0.0012129,0.0013401,0.0018738,0.00044994,0.0054539,0.0012612
Bloom-176B,H100x8,8,16,2048,3.2109,0.04587,0.029524,0.0019362,0.0023741,0.0024947,0.00059826,0.0072616,0.0016816
Bloom-176B,H100x8,8,24,1,0.030152,0.00043074,0.00032815,3.7013e-05,6.2952e-06,1.5625e-05,6.4244e-06,3.5997e-05,1.2316e-06
